code;roundTheClock;zone24;timeZone;workingHours;coordinates latitude;coordinates longitude;fullAddress;subwayStations;locationCategory;services;conditionCode
60026153;True;True;0;[];55.758824;37.752139;г. Москва, ш. Энтузиастов, д. 31стр39;[['Шоссе Энтузиастов', 'ЖЕЛ', '50'], ['Шоссе Энтузиастов', 'КРЖ', '230']];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'SELF_ENCASHMENT': True, 'CASHIN': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True};True
474707;False;False;0;[[32400000, 64800000], None, [32400000, 64800000], None, [32400000, 64800000], None, [32400000, 64800000], None, [32400000, 64800000], None, None, None, None, None];55.658148;37.6443;г. Москва, ш. Каширское, д. 23;[['Каширская', 'ЗЕЛ', '440']];Медицинское учреждение;{'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': True};True
10110756;False;False;0;[[36000000, 72000000], None, [36000000, 72000000], None, [36000000, 72000000], None, [36000000, 72000000], None, [36000000, 72000000], None, [36000000, 72000000], None, [36000000, 72000000], None];55.672975;37.583526;г. Москва, пр-кт Нахимовский, д. 24;[['Профсоюзная', 'ОРА', '1380'], ['Академическая', 'ОРА', '1690'], ['Нагорная', 'СЕР', '1690'], ['Нахимовский Проспект', 'СЕР', '1760']];Магазин;{'QRCODE': True, 'CASHIN_ITEMS_CNT40': False, 'SELF_ENCASHMENT': False, 'PAY_CASH': False, 'CASHIN': False, 'PAY_SERVICES': False, 'BARCODE': True, 'NFC': False, 'CASHOUT': True, 'DEPOSIT_OPEN': True};False
698056;True;True;0;[];55.849964;37.45195;г. Москва, ул. Свободы, д. 55;[['Сходненская', 'ФИО', '690']];Отделение банка;{'QRCODE': True, 'PAY_CASH': True, 'PAY_SERVICES': True, 'BARCODE': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': True};True
60012941;True;True;0;[];55.723394;37.610437;г. Москва, ул. Шаболовка,  10к2;[['Шаболовская', 'ОРА', '540'], ['Октябрьская', 'КОР', '670'], ['Октябрьская', 'ОРА', '900'], ['Добрынинская', 'КОР', '990']];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True, 'DEPOSIT_OPEN': True};True
60001434;True;True;0;[];55.673775;37.760457;г. Москва, ул. Совхозная, д. 39;[['Люблино', 'САЛ', '90']];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'SELF_ENCASHMENT': True, 'CASHIN': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True};True
60001088;False;False;0;[[32400000, 75600000], None, [32400000, 75600000], None, [32400000, 75600000], None, [32400000, 75600000], None, [32400000, 75600000], None, [32400000, 75600000], None, [36000000, 75600000], None];55.741014;37.415407;г. Москва, ул. Ярцевская, д. 25а;[['Молодёжная', 'СИН', '30']];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'SELF_ENCASHMENT': True, 'CASHIN': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True};True
60006259;True;True;0;[];55.819635;37.802169;г. Москва, ул. Алтайская, д. 4;[['Щёлковская', 'СИН', '1050']];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'SELF_ENCASHMENT': True, 'CASHIN': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True};True
60017255;True;True;0;[];55.723095;37.443757;г. Москва, ш. Можайское,  4к1;[['Кунцевская', 'СИН', '840'], ['Кунцевская', 'ГОЛ', '860']];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True, 'DEPOSIT_OPEN': True};True
60022499;False;False;0;[[30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [30600000, 70200000], None, [32400000, 59400000], None, None, None];55.749886;37.784506;г. Москва, ул. 2-я Владимирская, д. 40;[['Перово', 'ЖЕЛ', '90']];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'SELF_ENCASHMENT': True, 'CASHIN': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True};True
789553;True;True;0;[];55.861481;37.436817;г. Москва, ул. Планерная,  12, к. 1;[['Планерная', 'ФИО', '70']];Отделение банка;{'QRCODE': True, 'PAY_CASH': False, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'DEPOSIT_OPEN': True, 'CASHIN_ITEMS_CNT1': False};True
11374437;True;True;0;[];55.823803;37.646156;г. Москва, пр-кт Мира, д. 180;[['ВДНХ', 'ОРА', '340']];Отделение банка;{'QRCODE': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True, 'DEPOSIT_OPEN': True};True
358546;False;False;0;[[36000000, 79200000], None, [36000000, 79200000], None, [36000000, 79200000], None, [36000000, 79200000], None, [36000000, 79200000], None, [36000000, 79200000], None, [36000000, 79200000], None];55.659647;37.749661;г. Москва, ул. Перерва,  43к1;[['Братиславская', 'САЛ', '50']];ТЦ;{'PAY_SERVICES': True, 'BARCODE': True, 'CASHOUT': True, 'DEPOSIT_OPEN': True};True
60002754;True;True;0;[];55.64192;37.523456;г. Москва, ул. Профсоюзная, д. 104;[['Беляево', 'ОРА', '120']];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'SELF_ENCASHMENT': True, 'CASHIN': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True};True
780114;False;False;0;[[32400000, 64800000], None, [32400000, 64800000], None, [32400000, 64800000], None, [32400000, 64800000], None, [32400000, 61200000], None, None, None, None, None];55.762378;37.776197;г. Москва, ш. Энтузиастов, д. 62;[['Перово', 'ЖЕЛ', '1360'], ['Шоссе Энтузиастов', 'ЖЕЛ', '1610'], ['Шоссе Энтузиастов', 'КРЖ', '1790']];Медицинское учреждение;{'QRCODE': True, 'PAY_SERVICES': True, 'BARCODE': True, 'NFC': True, 'CASHOUT': True, 'DEPOSIT_OPEN': True};True
60010994;True;True;0;[];55.645703;37.74724;г. Москва, ул. Люблинская, д. 175;[['Марьино', 'САЛ', '400']];Отделение банка;{'CASHIN_ITEMS_CNT200': True, 'QRCODE': True, 'SELF_ENCASHMENT': True, 'PAY_CASH': True, 'CASHIN': True, 'PAY_SERVICES': False, 'BARCODE': True, 'NFC': True, 'CASHOUT': True, 'BLIND_PERSON': True, 'DEPOSIT_OPEN': True};True
